name, surname, ageInYears
LUIZA,LUIZA_146,4
JUDYTA,JUDYTA_126,28
HALYNA,HALYNA_131,12
ALFREDA,ALFREDA_160,2
NICOLE,NICOLE_20,16
NATASZA,NATASZA_36,14
TATIANA,TATIANA_104,16
NICOLA,NICOLA_136,26
JOWITA,JOWITA_172,0
VICTORIA,VICTORIA_114,39
MARYNA,MARYNA_183,33
ROMANA,ROMANA_90,18
APOLONIA,APOLONIA_99,19
VANESSA,VANESSA_81,19
LUDWIKA,LUDWIKA_27,29
JULIANNA,JULIANNA_186,6
TAMARA,TAMARA_11,24
ELEONORA,ELEONORA_174,3
VALENTYNA,VALENTYNA_54,20
MARZENNA,MARZENNA_190,18
WACŁAWA,WACŁAWA_126,39
JESSICA,JESSICA_192,5
INGA,INGA_46,33
LIWIA,LIWIA_48,1
ZENONA,ZENONA_24,21
ESTERA,ESTERA_132,21
MELANIA,MELANIA_115,41
ADA,ADA_126,39
NADIIA,NADIIA_176,27
BERNADETTA,BERNADETTA_149,6
MIA,MIA_121,28
WALENTYNA,WALENTYNA_1,0
HILDEGARDA,HILDEGARDA_158,0
INNA,INNA_63,30
ZENOBIA,ZENOBIA_14,26
DONATA,DONATA_117,4
LUDMIŁA,LUDMIŁA_163,17
FELICJA,FELICJA_163,17
ANETTA,ANETTA_122,13
BIANKA,BIANKA_127,24
LARYSA,LARYSA_165,18
ROMUALDA,ROMUALDA_68,0
OTYLIA,OTYLIA_75,39
ELENA,ELENA_164,14
GIZELA,GIZELA_151,16
AMANDA,AMANDA_103,16
PELAGIA,PELAGIA_187,39
IRMINA,IRMINA_177,10
LIUBOV,LIUBOV_187,5
RITA,RITA_21,20
ERYKA,ERYKA_135,9
OLEKSANDRA,OLEKSANDRA_138,9
IDA,IDA_14,14
LILIA,LILIA_36,16
SŁAWOMIRA,SŁAWOMIRA_33,39
MAYA,MAYA_156,23
BERNARDA,BERNARDA_10,40
LILLA,LILLA_49,29
YANA,YANA_32,
LONGINA,LONGINA_66,29
ALLA,ALLA_180,39
WALERIA,WALERIA_187,10
TEODOZJA,TEODOZJA_150,8
RYSZARDA,RYSZARDA_37,34
TEODORA,TEODORA_72,16
EMMA,EMMA_15,14
ADELAJDA,ADELAJDA_120,25
KAMILLA,KAMILLA_42,38
MIRELA,MIRELA_100,23
ALBINA,ALBINA_68,6
LILIIA,LILIIA_64,1
FAUSTYNA,FAUSTYNA_182,13
ALONA,ALONA_188,1
SAMANTA,SAMANTA_60,11
OLIMPIA,OLIMPIA_32,11
LILA,LILA_127,24
FELIKSA,FELIKSA_4,16
ALEXANDRA,ALEXANDRA_58,41
LUCJA,LUCJA_134,7
MARYLA,MARYLA_76,4
MARCELA,MARCELA_167,10
SOFIIA,SOFIIA_133,2
ZYTA,ZYTA_6,12
SOFIA,SOFIA_41,38
LEONARDA,LEONARDA_84,17
GAJA,GAJA_187,10
MARIANA,MARIANA_170,18
ANGELINA,ANGELINA_179,9
IVANNA,IVANNA_55,26
VERONIKA,VERONIKA_10,9
VIKTORIA,VIKTORIA_179,19
OKTAWIA,OKTAWIA_145,41
KSENIA,KSENIA_183,40
VALERIIA,VALERIIA_115,16
KONSTANCJA,KONSTANCJA_36,4
PAMELA,PAMELA_107,22
ZOJA,ZOJA_53,21
KHRYSTYNA,KHRYSTYNA_108,26
WANESSA,WANESSA_77,34
BOLESŁAWA,BOLESŁAWA_3,18
BOGNA,BOGNA_132,21
JAGNA,JAGNA_27,0
MIRELLA,MIRELLA_47,20
CLAUDIA,CLAUDIA_48,7
LESIA,LESIA_33,21
NOEMI,NOEMI_75,32
KRZYSZTOFA,KRZYSZTOFA_120,37
SALOMEA,SALOMEA_138,41
VIRA,VIRA_23,11
NADZIEJA,NADZIEJA_163,4
EDWARDA,EDWARDA_80,18
ELFRYDA,ELFRYDA_198,11
NEL,NEL_37,31
INEZ,INEZ_197,28
MARIYA,MARIYA_133,32
SOPHIE,SOPHIE_165,6
ALENA,ALENA_84,16
EMILY,EMILY_80,5
OLA,OLA_39,15
EDELTRAUDA,EDELTRAUDA_118,31
STELLA,STELLA_51,14
MICHELLE,MICHELLE_161,40
NATALIYA,NATALIYA_78,36
YEVHENIIA,YEVHENIIA_89,2
SARAH,SARAH_137,
ANGELA,ANGELA_131,22
TOLA,TOLA_54,14
MARINA,MARINA_44,26
YELYZAVETA,YELYZAVETA_54,19
YULIYA,YULIYA_112,30
MIRIAM,MIRIAM_1,22
INES,INES_124,8
OLESIA,OLESIA_163,16
RUSLANA,RUSLANA_160,4
IRINA,IRINA_97,21
LEA,LEA_34,12
IZA,IZA_177,27
ARLETTA,ARLETTA_107,33
JAŚMINA,JAŚMINA_76,33
WIERA,WIERA_23,13
GALYNA,GALYNA_82,30
ROMA,ROMA_23,17
RUTA,RUTA_93,20
NATALIE,NATALIE_135,23
MARIETTA,MARIETTA_28,11
KLEMENTYNA,KLEMENTYNA_32,17
MANUELA,MANUELA_100,36
KLAUDYNA,KLAUDYNA_6,39
HELGA,HELGA_20,13
ANTONIA,ANTONIA_177,20
ANASTASIYA,ANASTASIYA_158,23
VITA,VITA_102,4
POLINA,POLINA_158,24
EVA,EVA_87,8
RAISA,RAISA_174,16
TATSIANA,TATSIANA_14,23
GERDA,GERDA_89,23
GRETA,GRETA_195,35
LIDIIA,LIDIIA_41,41
NATALLIA,NATALLIA_93,3
KARYNA,KARYNA_197,12
MARHARYTA,MARHARYTA_113,3
ANA,ANA_69,31
VOLHA,VOLHA_33,39
MYROSLAVA,MYROSLAVA_191,24
IRMGARDA,IRMGARDA_161,33
TEOFILA,TEOFILA_51,37
KRISTINA,KRISTINA_80,40
MILA,MILA_180,7
EULALIA,EULALIA_193,22
FLORENTYNA,FLORENTYNA_167,27
DOBROSŁAWA,DOBROSŁAWA_1,5
BERNARDYNA,BERNARDYNA_47,26
ULIANA,ULIANA_141,7
ANDREA,ANDREA_143,23
JAROSŁAWA,JAROSŁAWA_59,28
ZHANNA,ZHANNA_194,12
MARTINA,MARTINA_24,38
SOPHIA,SOPHIA_190,5
KATSIARYNA,KATSIARYNA_65,22
ERNA,ERNA_151,3
ANZHELA,ANZHELA_22,15
TETYANA,TETYANA_36,11
IULIIA,IULIIA_191,21
ERIKA,ERIKA_69,20
VERONICA,VERONICA_190,27
LARA,LARA_101,19
NICOL,NICOL_75,16
LIVIA,LIVIA_5,38
DARYNA,DARYNA_33,10
WANESA,WANESA_150,11
HANKA,HANKA_64,2
LINDA,LINDA_31,26
LUBA,LUBA_130,9
ANASTASIA,ANASTASIA_161,11
DŻESIKA,DŻESIKA_43,37
MARCJANNA,MARCJANNA_94,8
JENNIFER,JENNIFER_79,29
ALA,ALA_95,36
MALINA,MALINA_184,0
ANHELINA,ANHELINA_77,12
NIKOL,NIKOL_116,3
GANNA,GANNA_79,39
MAJKA,MAJKA_143,24
WIRGINIA,WIRGINIA_142,7
PATRICIA,PATRICIA_41,10
KSENIIA,KSENIIA_194,2
ZINAIDA,ZINAIDA_95,39
ISABELLA,ISABELLA_8,33
MARITA,MARITA_188,35
GLORIA,GLORIA_34,31
BALBINA,BALBINA_196,19
KUNEGUNDA,KUNEGUNDA_148,18
GALINA,GALINA_200,5
SIMONA,SIMONA_26,38
ALISA,ALISA_91,
SEWERYNA,SEWERYNA_185,20
DAJANA,DAJANA_5,24
ANIKA,ANIKA_195,18
JANA,JANA_174,36
FILOMENA,FILOMENA_158,25
EMANUELA,EMANUELA_62,28
SABRINA,SABRINA_165,12
MIRA,MIRA_200,30
HANNAH,HANNAH_94,29
SVETLANA,SVETLANA_163,18
BERENIKA,BERENIKA_13,37
CARMEN,CARMEN_158,23
CAROLINE,CAROLINE_162,31
KORNELA,KORNELA_195,14
GABRIELLA,GABRIELLA_148,25
NIKOLETTA,NIKOLETTA_31,18
DARIIA,DARIIA_123,4
DARYA,DARYA_163,38
RAMONA,RAMONA_197,36
BLANDYNA,BLANDYNA_160,9
BENEDYKTA,BENEDYKTA_52,40
IWONNA,IWONNA_153,
LEONTYNA,LEONTYNA_169,23
LUBOMIRA,LUBOMIRA_133,10
SVIATLANA,SVIATLANA_47,37
BOGDANA,BOGDANA_94,11
ŻAKLINA,ŻAKLINA_127,17
LIGIA,LIGIA_195,11
MARYIA,MARYIA_191,4
AMALIA,AMALIA_132,29
KIRA,KIRA_2,22
NELLY,NELLY_149,1
LIUDMILA,LIUDMILA_109,19
DALIA,DALIA_34,5
GABRYELA,GABRYELA_124,12
ALICE,ALICE_136,16
VALENTINA,VALENTINA_11,16
NAOMI,NAOMI_62,34
ZORIANA,ZORIANA_141,37
EMILA,EMILA_118,4
LILY,LILY_32,12
MILANA,MILANA_82,32
ELIZABETH,ELIZABETH_42,8
INA,INA_113,27
NADIYA,NADIYA_3,2
BOHDANA,BOHDANA_38,2
INGRID,INGRID_95,40
ALICIA,ALICIA_24,32
INGEBORGA,INGEBORGA_43,16
MICHAELA,MICHAELA_41,30
SWIETŁANA,SWIETŁANA_41,15
SYBILLA,SYBILLA_179,3
IRMA,IRMA_48,27
IDALIA,IDALIA_125,4
LYUDMYLA,LYUDMYLA_67,33
NELIA,NELIA_196,32
BIANCA,BIANCA_51,13
DOMICELA,DOMICELA_40,8
CELESTYNA,CELESTYNA_94,39
SNIZHANA,SNIZHANA_143,3
TEKLA,TEKLA_172,35
GRACJANA,GRACJANA_39,3
INKA,INKA_113,27
JÓZEFINA,JÓZEFINA_83,33
VIKTORYIA,VIKTORYIA_99,7
HANA,HANA_40,37
LILLY,LILLY_128,34
ROXANA,ROXANA_172,15
YAROSLAVA,YAROSLAVA_24,24
VIOLETA,VIOLETA_41,33
MARGARITA,MARGARITA_53,3
KAYA,KAYA_148,5
VLADYSLAVA,VLADYSLAVA_111,40
ELLA,ELLA_104,24
SŁAWA,SŁAWA_31,22
LEONIA,LEONIA_175,34
BERNARDETA,BERNARDETA_85,7
ŻANETTA,ŻANETTA_10,9
LYUBOV,LYUBOV_87,7
MARGARETA,MARGARETA_35,19
CAROLINA,CAROLINA_136,7
ANZHELIKA,ANZHELIKA_171,6
MARIE,MARIE_134,20
ABIGAIL,ABIGAIL_68,37
ARIANA,ARIANA_61,0
BENITA,BENITA_36,3
BERTA,BERTA_172,12
MONICA,MONICA_21,6
EKATERINA,EKATERINA_125,40
LINA,LINA_10,15
DOBRAWA,DOBRAWA_180,8
ELA,ELA_2,7
JESIKA,JESIKA_76,23
KASANDRA,KASANDRA_21,36
ZOIA,ZOIA_44,28
KARIN,KARIN_52,27
EUNIKA,EUNIKA_30,25
DOBROCHNA,DOBROCHNA_187,5
CRISTINA,CRISTINA_3,17
DAGNA,DAGNA_136,40
JESSIKA,JESSIKA_22,13
ORIANA,ORIANA_30,39
VIKTORIYA,VIKTORIYA_186,15
MELISA,MELISA_88,38
YEVA,YEVA_40,22
MELISSA,MELISSA_18,3
ZLATA,ZLATA_179,31
ZOE,ZOE_18,39
ALIAKSANDRA,ALIAKSANDRA_187,29
ARINA,ARINA_102,8
AUGUSTYNA,AUGUSTYNA_140,36
NATHALIE,NATHALIE_177,3
FATIMA,FATIMA_32,39
LESŁAWA,LESŁAWA_138,34
LISA,LISA_70,30
VASYLYNA,VASYLYNA_68,33
JASMINA,JASMINA_40,6
GIULIA,GIULIA_115,3
SOLOMIIA,SOLOMIIA_61,36
MAIA,MAIA_137,32
WILHELMINA,WILHELMINA_167,36
CLARA,CLARA_189,13
JASMIN,JASMIN_78,19
JULITTA,JULITTA_112,37
DINA,DINA_14,15
SELENA,SELENA_63,40
MARIETA,MARIETA_176,24
EUFEMIA,EUFEMIA_151,24
ELISABETH,ELISABETH_154,9
NIKOLINA,NIKOLINA_12,1
SYLWESTRA,SYLWESTRA_176,0
LARISA,LARISA_58,11
ELISA,ELISA_16,37
SILVIA,SILVIA_137,34
YANINA,YANINA_163,10
ERNESTYNA,ERNESTYNA_17,8
NELLA,NELLA_177,36
VERA,VERA_99,31
PETRONELA,PETRONELA_49,30
ROZWITA,ROZWITA_131,0
ADELINA,ADELINA_69,9
EVELINA,EVELINA_15,26
DANA,DANA_155,25
SYLVIA,SYLVIA_177,7
VERANIKA,VERANIKA_169,10
LEILA,LEILA_92,41
LUDOMIRA,LUDOMIRA_124,25
SAMANTHA,SAMANTHA_52,40
RADOSŁAWA,RADOSŁAWA_12,17
LILIYA,LILIYA_181,9
AURORA,AURORA_53,33
NIKOLETA,NIKOLETA_30,6
CATHERINE,CATHERINE_165,31
MIŁOSŁAWA,MIŁOSŁAWA_137,23
MELANIE,MELANIE_194,2
NELL,NELL_77,13
MIRANDA,MIRANDA_130,20
NATASHA,NATASHA_126,27
IZOLDA,IZOLDA_123,14
LAILA,LAILA_38,28
VIVIEN,VIVIEN_45,41
MAIIA,MAIIA_13,34
LETYCJA,LETYCJA_200,17
MARIAM,MARIAM_156,13
KATHERINE,KATHERINE_115,27
DOBROMIŁA,DOBROMIŁA_169,28
MARGOT,MARGOT_38,37
CHARLOTTE,CHARLOTTE_102,30
SOFIYA,SOFIYA_127,38
AKSANA,AKSANA_117,30
NIKA,NIKA_136,24
EMA,EMA_126,38
INGRIDA,INGRIDA_181,1
LILI,LILI_175,0
FRYDERYKA,FRYDERYKA_188,20
SUSANNA,SUSANNA_32,16
BENIGNA,BENIGNA_140,17
VARVARA,VARVARA_191,0
KATHARINA,KATHARINA_75,31
KAREN,KAREN_116,4
ZENAIDA,ZENAIDA_146,26
KSENIYA,KSENIYA_104,35
CYRYLA,CYRYLA_156,26
LUCIA,LUCIA_187,4
NARCYZA,NARCYZA_69,21
AGNES,AGNES_43,15
ELZA,ELZA_1,20
ELINA,ELINA_169,16
ANIDA,ANIDA_107,7
AMINA,AMINA_153,33
ISMENA,ISMENA_130,26
LAYLA,LAYLA_140,23
HALSZKA,HALSZKA_66,29
TAISIIA,TAISIIA_25,22
NOA,NOA_53,25
YAEL,YAEL_54,39
ROKSOLANA,ROKSOLANA_54,40
VALERYIA,VALERYIA_20,27
KSYMENA,KSYMENA_5,9
SCHOLASTYKA,SCHOLASTYKA_63,21
ANDŻELINA,ANDŻELINA_66,21
JACQUELINE,JACQUELINE_67,28
ANGELICA,ANGELICA_120,36
JASMINE,JASMINE_98,25
CHIARA,CHIARA_176,39
RUTH,RUTH_147,37
ARIADNA,ARIADNA_157,38
JULIANA,JULIANA_79,0
MARTHA,MARTHA_89,14
LIANA,LIANA_74,25
WALTRAUDA,WALTRAUDA_160,37
BETINA,BETINA_99,4
LIZA,LIZA_108,35
HERMINA,HERMINA_151,13
JELENA,JELENA_66,6
JESICA,JESICA_170,5
ALESIA,ALESIA_130,8
ELVIRA,ELVIRA_35,23
CHRISTINE,CHRISTINE_74,5
DELFINA,DELFINA_92,0
LIA,LIA_83,17
IWETTA,IWETTA_131,7
KRYSTSINA,KRYSTSINA_27,35
TAISA,TAISA_36,31
TAMAR,TAMAR_187,6
ALMA,ALMA_72,11
ANICETA,ANICETA_170,11
DEBORA,DEBORA_97,9
ALIONA,ALIONA_57,12
BIBIANNA,BIBIANNA_135,20
IWETA,IWETA_11,18
OTOLIA,OTOLIA_171,9
TINA,TINA_59,26
CHRISTINA,CHRISTINA_193,23
VITALINA,VITALINA_37,31
GRACJA,GRACJA_101,30
LUKRECJA,LUKRECJA_93,40
MARGARET,MARGARET_82,10
ADAMINA,ADAMINA_50,18
ISABELLE,ISABELLE_102,28
MARIJA,MARIJA_188,3
PALINA,PALINA_70,0
MATILDA,MATILDA_133,41
SAMIRA,SAMIRA_107,10
IANA,IANA_116,0
NICOLETTA,NICOLETTA_166,30
AMY,AMY_1,1
MODESTA,MODESTA_7,41
PAOLA,PAOLA_108,28
RYTA,RYTA_118,16
HIACYNTA,HIACYNTA_60,32
TAMILA,TAMILA_137,2
THI,THI_170,3
VALERIA,VALERIA_108,20
LUDWINA,LUDWINA_181,28
LUBOW,LUBOW_121,40
STEPHANIE,STEPHANIE_25,5
ILZA,ILZA_10,11
LIZAVETA,LIZAVETA_92,14
MICHAL,MICHAL_36,21
NADINE,NADINE_144,20
SZARLOTA,SZARLOTA_6,20
ANNE,ANNE_156,10
LESYA,LESYA_124,23
FRANCESCA,FRANCESCA_7,5
NADZEYA,NADZEYA_110,6
WINCENTYNA,WINCENTYNA_187,23
HIERONIMA,HIERONIMA_52,31
ISABEL,ISABEL_161,26
AIDA,AIDA_48,25
PRAKSEDA,PRAKSEDA_34,18
CHLOE,CHLOE_173,31
GAIA,GAIA_111,20
KESJA,KESJA_6,33
ŻANNA,ŻANNA_77,21
VALIANTSINA,VALIANTSINA_72,12
VITALIIA,VITALIIA_81,5
ANDRZELIKA,ANDRZELIKA_51,10
YULIA,YULIA_23,17
AMELIE,AMELIE_200,29
ZOYA,ZOYA_144,20
LUNA,LUNA_165,32
JULIE,JULIE_44,27
LUCJANNA,LUCJANNA_137,
LUCY,LUCY_140,5
AŁŁA,AŁŁA_76,30
OXANA,OXANA_106,12
WIELISŁAWA,WIELISŁAWA_104,19
IRENE,IRENE_63,20
SERAFINA,SERAFINA_18,11
ARIANNA,ARIANNA_60,28
EMILIE,EMILIE_34,4
RACHEL,RACHEL_149,12
YASMIN,YASMIN_40,41
HERONIMA,HERONIMA_18,2
WERA,WERA_88,10
LUISA,LUISA_199,0
RACHELA,RACHELA_12,2
NATALYA,NATALYA_172,27
INGRYDA,INGRYDA_54,38
NELLI,NELLI_112,12
MARY,MARY_152,9
SOFIJA,SOFIJA_153,21
ULYANA,ULYANA_148,15
ELENI,ELENI_151,21
YARYNA,YARYNA_112,24
KSAWERA,KSAWERA_47,6
ANIA,ANIA_50,27
AURELA,AURELA_38,30
EMILIIA,EMILIIA_69,32
ANDRIANA,ANDRIANA_7,31
JOHANNA,JOHANNA_150,3
IRMGARD,IRMGARD_82,25
KAROLA,KAROLA_116,8
ROZA,ROZA_190,32
LEONORA,LEONORA_65,23
CARLA,CARLA_85,10
LARISSA,LARISSA_104,1
SONJA,SONJA_165,17
ARLENA,ARLENA_36,23
CAMILLA,CAMILLA_96,29
LEONA,LEONA_75,23
NASTAZJA,NASTAZJA_70,6
SUSANNE,SUSANNE_174,38
ALESSANDRA,ALESSANDRA_95,8
VIVIENNE,VIVIENNE_25,6
DORIS,DORIS_59,10
JOLENTA,JOLENTA_194,28
LAURENCJA,LAURENCJA_188,21
MEGAN,MEGAN_75,7
SWITŁANA,SWITŁANA_138,29
ELIANA,ELIANA_108,3
SHARON,SHARON_74,35
LEYLA,LEYLA_179,18
ANJA,ANJA_119,23
LORENA,LORENA_6,5
MIRONA,MIRONA_30,6
MADINA,MADINA_149,11
ADI,ADI_102,33
DZIYANA,DZIYANA_161,25
KARMEN,KARMEN_49,33
CORNELIA,CORNELIA_146,7
NASTASSIA,NASTASSIA_119,41
HILDA,HILDA_15,11
KATIA,KATIA_88,14
MIKA,MIKA_113,32
ALESSIA,ALESSIA_164,16
ALOJZA,ALOJZA_23,2
LILLI,LILLI_169,15
PETRA,PETRA_167,36
WŁODZIMIERA,WŁODZIMIERA_166,23
ERWINA,ERWINA_5,37
AMIRA,AMIRA_82,17
ASTRID,ASTRID_15,40
NINO,NINO_75,2
AISHA,AISHA_147,7
LUDMILA,LUDMILA_197,16
MALIKA,MALIKA_77,9
URSULA,URSULA_42,32
INESA,INESA_43,41
FABIOLA,FABIOLA_28,2
ROSA,ROSA_108,20
TADEUSZA,TADEUSZA_46,14
KRYSTIANA,KRYSTIANA_151,9
LIDIYA,LIDIYA_98,2
HELEN,HELEN_72,12
NASTIA,NASTIA_113,34
KATARINA,KATARINA_44,37
SUSAN,SUSAN_40,32
GUSTAWA,GUSTAWA_16,31
YELIZAVETA,YELIZAVETA_199,4
DIONIZA,DIONIZA_136,35
DOLORES,DOLORES_139,35
HERTA,HERTA_89,30
SYNTIA,SYNTIA_33,31
CAMILA,CAMILA_3,19
REBECCA,REBECCA_128,31
IZYDORA,IZYDORA_21,11
CHANTAL,CHANTAL_90,29
KATRIN,KATRIN_189,25
ROSE,ROSE_136,14
BOGDA,BOGDA_80,0
CYNTHIA,CYNTHIA_197,13
RENA,RENA_62,10
AUGUSTA,AUGUSTA_76,32
ESTHER,ESTHER_54,12
WALBURGA,WALBURGA_142,34
ADOLFA,ADOLFA_152,9
YULIANA,YULIANA_186,35
ELIZAVETA,ELIZAVETA_197,4
WINCENTA,WINCENTA_178,40
ZBIGNIEWA,ZBIGNIEWA_79,18
SOFIE,SOFIE_127,4
LYDIA,LYDIA_61,21
MARYAM,MARYAM_44,30
VLADA,VLADA_151,11
ANAT,ANAT_39,2
GRACE,GRACE_25,1
FATMA,FATMA_185,33
LEAH,LEAH_139,40
ORYSIA,ORYSIA_109,39
RUT,RUT_159,26
PAULINE,PAULINE_61,11
WALESKA,WALESKA_135,40
MARGARYTA,MARGARYTA_112,21
ROBERTA,ROBERTA_43,20
AGATHA,AGATHA_34,24
YVONNE,YVONNE_188,7
ADOLFINA,ADOLFINA_67,18
NADJA,NADJA_131,25
TAL,TAL_138,22
JAGIENKA,JAGIENKA_173,16
GABRIELLE,GABRIELLE_127,1
MARGOTA,MARGOTA_14,1
FELICYTA,FELICYTA_128,1
KAMELIA,KAMELIA_49,14
PATRIZIA,PATRIZIA_54,34
KIARA,KIARA_141,25
YAUHENIYA,YAUHENIYA_106,40
MARYANA,MARYANA_200,7
NATALIJA,NATALIJA_118,14
ZOSIA,ZOSIA_139,39
REBEKA,REBEKA_89,37
NADIJA,NADIJA_134,40
VIRGINIA,VIRGINIA_30,21
VIVIANA,VIVIANA_135,4
LUBOMIŁA,LUBOMIŁA_45,7
SUZANNE,SUZANNE_194,
KORYNA,KORYNA_131,35
ZARA,ZARA_35,3
NOELIA,NOELIA_187,23
TEREZA,TEREZA_115,27
ELIF,ELIF_59,
BLANCA,BLANCA_140,31
ELMIRA,ELMIRA_77,22
IEVGENIIA,IEVGENIIA_140,36
LUCJANA,LUCJANA_10,26
MILLA,MILLA_172,29
DEBORAH,DEBORAH_152,7
SALMA,SALMA_175,4
NADIEŻDA,NADIEŻDA_164,34
SHIRA,SHIRA_146,32
EDITH,EDITH_164,31
FRYDA,FRYDA_16,35
KARLA,KARLA_94,13
KRYSPINA,KRYSPINA_179,19
RAFAELA,RAFAELA_138,10
SUZANNA,SUZANNA_131,26
SUSANA,SUSANA_64,14
KAMILIA,KAMILIA_79,23
LUDGARDA,LUDGARDA_116,35
RONI,RONI_178,37
SIMONE,SIMONE_20,41
ECATERINA,ECATERINA_15,2
KASJANA,KASJANA_167,40
MERVE,MERVE_11,5
KATERINA,KATERINA_11,37
STELA,STELA_178,40
VITTORIA,VITTORIA_91,15
DANIELLE,DANIELLE_173,19
DĄBRÓWKA,DĄBRÓWKA_137,39
DENISE,DENISE_29,39
ILIANA,ILIANA_9,16
INHA,INHA_174,35
STANISLAVA,STANISLAVA_120,38
THỊ,THỊ_72,21
VIVIAN,VIVIAN_159,35
ZEFIRYNA,ZEFIRYNA_175,39
TATJANA,TATJANA_146,39
EUFROZYNA,EUFROZYNA_49,18
INEZA,INEZA_93,34
ROMINA,ROMINA_196,39
ANNA-MARIA,ANNA-MARIA_186,25
KARINE,KARINE_183,13
INESSA,INESSA_9,32
ZUZANA,ZUZANA_200,27
JENNY,JENNY_94,28
AYA,AYA_164,27
DAMIANA,DAMIANA_183,29
JULIETTE,JULIETTE_113,25
CHANEL,CHANEL_31,15
EDMUNDA,EDMUNDA_135,39
SCARLETT,SCARLETT_197,18
VALERIYA,VALERIYA_111,1
BETTINA,BETTINA_63,30
DORA,DORA_134,29
ESTER,ESTER_62,40
IMAN,IMAN_98,41
SATURNINA,SATURNINA_29,37
VANESA,VANESA_42,37
BEATRIZ,BEATRIZ_174,6
LEONIDA,LEONIDA_78,16
OLESYA,OLESYA_87,4
PALOMA,PALOMA_110,15
ZEYNEP,ZEYNEP_100,21
HENRIETA,HENRIETA_104,11
KATHRIN,KATHRIN_193,10
WALTRAUD,WALTRAUD_199,26
BIRUTA,BIRUTA_162,8
FLORA,FLORA_159,19
LUDOMIŁA,LUDOMIŁA_55,2
WALTRAUT,WALTRAUT_72,37
ELIGIA,ELIGIA_6,0
IRIS,IRIS_148,37
JULIETTA,JULIETTA_120,27
NELI,NELI_87,19
HANIA,HANIA_29,13
NORA,NORA_86,30
WISŁAWA,WISŁAWA_19,24
ANNETTE,ANNETTE_66,33
INGEBORG,INGEBORG_100,21
TATYANA,TATYANA_127,18
WIEŃCZYSŁAWA,WIEŃCZYSŁAWA_175,39
EVELYN,EVELYN_32,33
CECILIA,CECILIA_164,32
IVANA,IVANA_64,38
MARINE,MARINE_43,29
ANNIKA,ANNIKA_112,36
NADEJDA,NADEJDA_91,24
SYLWINA,SYLWINA_155,30
YASMINE,YASMINE_166,30
MARGARETE,MARGARETE_161,37
EDELTRAUD,EDELTRAUD_44,26
JOLA,JOLA_88,5
KATRINA,KATRINA_88,23
ALBERTYNA,ALBERTYNA_69,31
BELLA,BELLA_131,39
CLAIRE,CLAIRE_60,38
NADEZHDA,NADEZHDA_38,3
KATE,KATE_97,23
EMILIYA,EMILIYA_81,5
IULIA,IULIA_77,24
IWONKA,IWONKA_179,12
KAYLA,KAYLA_107,21
LUCIE,LUCIE_51,16
MALVINA,MALVINA_28,14
EDWINA,EDWINA_144,7
LOUISE,LOUISE_21,33
AFRODYTA,AFRODYTA_99,19
NICOLL,NICOLL_178,29
KELLY,KELLY_26,3
AMBER,AMBER_89,31
ANATOLA,ANATOLA_93,3
DENISA,DENISA_44,4
HANNELORE,HANNELORE_61,41
ARYNA,ARYNA_158,24
HEIDI,HEIDI_157,14
KHAVA,KHAVA_139,14
KIM,KIM_187,11
RAQUEL,RAQUEL_175,35
ZINA,ZINA_157,9
ZYGFRYDA,ZYGFRYDA_64,40
ANATOLIA,ANATOLIA_153,1
AVA,AVA_171,17
JOSEPHINE,JOSEPHINE_155,30
ŻAKLIN,ŻAKLIN_122,19
CYNTIA,CYNTIA_136,3
LANA,LANA_197,27
STEFANIIA,STEFANIIA_101,32
ANDŻELA,ANDŻELA_43,29
DARINA,DARINA_1,19
HILDEGARD,HILDEGARD_69,12
KASIA,KASIA_28,2
FRIDA,FRIDA_118,5
JULIETA,JULIETA_7,29
NEONILA,NEONILA_8,37
SABINE,SABINE_57,31
DOMINIQUE,DOMINIQUE_194,28
JUTA,JUTA_81,30
KATJA,KATJA_69,4
LILIAN,LILIAN_178,33
MARÍA,MARÍA_110,7
MARION,MARION_160,16
SYLWANA,SYLWANA_177,11
CINDY,CINDY_183,34
KORDULA,KORDULA_84,32
LIDA,LIDA_52,38
MERCEDES,MERCEDES_160,26
JUSTINE,JUSTINE_14,11
MARGERITA,MARGERITA_28,41
ANŻELIKA,ANŻELIKA_51,6
FLORIANNA,FLORIANNA_175,16
LOLA,LOLA_36,29
DAIANA,DAIANA_29,11
KOLETA,KOLETA_117,31
LÉA,LÉA_5,4
LOLITA,LOLITA_52,38
WIWIANA,WIWIANA_121,14
YUVAL,YUVAL_110,33
LAUREN,LAUREN_26,7
SEDA,SEDA_195,19
HILARIA,HILARIA_28,8
KEREN,KEREN_84,40
LENKA,LENKA_155,30
NANCY,NANCY_195,5
NILA,NILA_182,12
YASMINA,YASMINA_189,25
GEORGINA,GEORGINA_54,33
ILANA,ILANA_81,19
KRISTINE,KRISTINE_67,32
EDELTRAUT,EDELTRAUT_112,40
KAMA,KAMA_3,15
LORETTA,LORETTA_43,33
ANN,ANN_68,18
MIHAELA,MIHAELA_191,16
BEATRICE,BEATRICE_28,14
JUDITH,JUDITH_96,27
KATIE,KATIE_123,30
MAURA,MAURA_139,5
ANI,ANI_7,26
ANNAMARIA,ANNAMARIA_9,25
BEATRYCZE,BEATRYCZE_165,25
BERNADYNA,BERNADYNA_68,20
BRIGITTE,BRIGITTE_83,14
